X1,X2,Y
100,59,1
78,44,1
40,49,1
4,9,0
13,17,0
20,59,0
78,41,1
92,52,1
89,55,1
67,0,0
42,35,1
34,84,1
18,86,0
25,19,0
36,46,1
32,13,0
71,78,1
21,9,0
67,69,1
83,11,0
91,64,1
36,2,0
27,71,1
17,96,0
47,35,1
76,35,1
16,84,0
29,65,1
23,68,1
96,24,1
69,51,1
51,49,1
26,99,1
62,27,1
95,25,1
61,62,1
61,50,1
2,84,0
67,8,0
57,85,1
53,91,1
55,57,1
51,88,1
75,38,1
96,48,1
43,98,1
18,82,0
98,8,0
50,99,1
71,51,1
92,53,1
44,84,1
83,3,0
4,15,0
51,76,1
31,99,1
71,58,1
85,35,1
57,16,0
50,8,0
28,23,1
51,94,1
59,30,1
2,50,0
62,76,1
7,9,0
25,87,1
27,64,1
15,58,0
5,12,0
61,12,0
69,65,1
77,79,1
21,3,0
97,99,1
98,29,1
65,13,0
62,35,1
81,90,1
85,84,1
93,28,1
77,82,1
42,89,1
77,33,1
57,16,0
29,62,1
18,17,0
4,62,0
18,24,0
93,7,0
42,100,1
66,78,1
45,15,0
79,33,1
95,77,1
90,47,1
92,93,1
21,81,1
50,38,1
96,86,1
